# 시작시간,길이,출력파일명,크롭범위
# 와우산노래자랑 ep.1 쇼츠 클립 v2 (15~30초 단축, 와우산TV 분석 기준 적용)
00:14:28,00:00:25,1_렛렛렛.mp4,1~9
00:16:53,00:00:25,2_피아노가안나와요.mp4,2~8
00:17:49,00:00:25,3_보지마세요.mp4,2~10
00:20:15,00:00:25,4_죄송해요미쳤어.mp4,2~10
00:28:45,00:00:20,5_아이두아이두.mp4,2~9
00:29:29,00:00:25,6_재즈바온줄.mp4,0~10
00:36:04,00:00:30,7_프랑스바이브.mp4,1~9
00:44:30,00:00:30,8_루카마이나.mp4,5~10
